User ID,Location,Age,Household Size,Monthly Consumption (kWh),Peak Consumption (kWh),Avg Consumption (kWh),Consumption by Time of Day (Morning),Consumption by Time of Day (Evening),Marketing Interaction,Pricing Plan,Incentive Participation,Engagement Rate,Energy Usage Reduction (%),Evening_Morning_Diff,High_Engagement
User_1,Loc_4,29.0,4.0,300.0,35.0,10.0,0.0,9.0,True,Dynamic Pricing,False,0.8416154597578153,5.188983421361526,9.0,1
User_2,Loc_5,61.0,2.0,383.0,29.0,12.766666666666667,10.0,10.0,True,Flat Rate,False,0.554620491211145,1.6929750716925795,0.0,1
User_3,Loc_3,53.0,5.0,272.0,32.0,9.066666666666666,7.0,5.0,False,Flat Rate,True,0.90163122948636,7.565753539047169,-2.0,1
User_4,Loc_5,65.0,1.0,426.0,19.0,14.2,9.0,1.0,True,Dynamic Pricing,False,0.9261929864146268,4.491647653078021,-8.0,1
User_5,Loc_5,21.0,3.0,305.0,20.0,10.166666666666666,13.0,10.0,True,Flat Rate,True,0.0090981812807759,22.877447194552776,-3.0,0
User_6,Loc_2,22.0,5.0,162.0,14.0,5.4,2.0,18.0,True,Dynamic Pricing,False,0.0754121759927882,16.808855010920404,16.0,0
User_7,Loc_3,54.0,5.0,172.0,10.0,5.733333333333333,10.0,5.0,False,Flat Rate,False,0.2503587295708555,14.025866841767682,-5.0,0
User_8,Loc_3,25.0,3.0,350.0,26.0,11.666666666666666,6.0,13.0,True,Flat Rate,True,0.6693154163635017,22.14331773496072,7.0,1
User_9,Loc_3,59.0,5.0,223.0,31.0,7.433333333333334,10.0,19.0,False,Flat Rate,False,0.888272196511506,7.019512478521827,9.0,1
User_10,Loc_5,66.0,1.0,474.0,43.0,15.8,14.0,5.0,False,Dynamic Pricing,True,0.4599419512939627,17.800698756847034,-9.0,0
User_11,Loc_4,45.0,1.0,220.0,38.0,7.333333333333333,0.0,16.0,True,Dynamic Pricing,True,0.6069731162742654,21.654789689669272,16.0,1
User_12,Loc_3,48.0,3.0,374.0,13.0,12.466666666666669,0.0,9.0,False,Flat Rate,True,0.1884998527955611,14.695984912421714,9.0,0
User_13,Loc_5,26.0,4.0,497.0,14.0,16.566666666666666,9.0,0.0,False,Flat Rate,False,0.8049668338816853,1.2243331628714405,-9.0,1
User_14,Loc_2,68.0,2.0,219.0,20.0,7.3,12.0,2.0,True,Flat Rate,False,0.9673281113534696,11.818321856544536,-10.0,1
User_15,Loc_4,46.0,4.0,416.0,30.0,13.866666666666667,4.0,7.0,False,Dynamic Pricing,True,0.2685989329145974,31.375889114413063,3.0,0
User_16,Loc_2,31.0,5.0,263.0,44.0,8.766666666666667,4.0,7.0,True,Flat Rate,False,0.4948259516005463,3.3365940990052567,3.0,0
User_17,Loc_4,57.0,2.0,385.0,21.0,12.833333333333334,7.0,19.0,False,Flat Rate,False,0.0861161105063738,0.9336963979854752,12.0,0
User_18,Loc_5,58.0,3.0,364.0,35.0,12.133333333333333,6.0,14.0,False,Flat Rate,False,0.5591366564629684,15.59063363647866,8.0,1
User_19,Loc_1,39.0,3.0,419.0,28.0,13.966666666666669,7.0,6.0,True,Flat Rate,True,0.5027834418466806,13.788223097424329,-1.0,1
User_20,Loc_4,28.0,2.0,260.0,16.0,8.666666666666666,5.0,10.0,True,Dynamic Pricing,False,0.1444364841550776,16.59287610705857,5.0,0
User_21,Loc_2,40.0,1.0,475.0,16.0,15.833333333333334,5.0,6.0,False,Dynamic Pricing,True,0.442066213118075,20.03563450127032,1.0,0
User_22,Loc_5,18.0,2.0,407.0,35.0,13.566666666666666,1.0,3.0,False,Flat Rate,False,0.3341046520865632,18.91347074101609,2.0,0
User_23,Loc_4,63.0,5.0,188.0,49.0,6.266666666666667,5.0,11.0,True,Dynamic Pricing,False,0.5218308753051893,8.178544715133441,6.0,1
User_24,Loc_1,54.0,1.0,241.0,14.0,8.033333333333333,4.0,5.0,False,Dynamic Pricing,True,0.5856543354287992,24.72148856349824,1.0,1
User_25,Loc_1,38.0,3.0,302.0,30.0,10.066666666666666,12.0,13.0,False,Dynamic Pricing,False,0.0084955786072095,9.297095616265414,1.0,0
User_26,Loc_3,43.0,2.0,408.0,23.0,13.6,2.0,11.0,False,Flat Rate,True,0.7610059829495553,21.667967848725294,9.0,1
User_27,Loc_3,63.0,4.0,326.0,13.0,10.866666666666667,5.0,10.0,False,Dynamic Pricing,False,0.7130142918617408,8.991978120154746,5.0,1
User_28,Loc_2,53.0,4.0,433.0,32.0,14.433333333333334,7.0,18.0,True,Dynamic Pricing,True,0.3662863862065222,9.443582254780283,11.0,0
User_29,Loc_4,40.0,5.0,321.0,29.0,10.7,8.0,4.0,True,Dynamic Pricing,False,0.0529359355688182,10.157948320067618,-4.0,0
User_30,Loc_4,18.0,4.0,140.0,24.0,4.666666666666667,0.0,13.0,True,Flat Rate,False,0.7549325397850504,10.571684028748846,13.0,1
User_31,Loc_3,68.0,2.0,295.0,38.0,9.833333333333334,2.0,15.0,True,Flat Rate,False,0.9551751604781324,16.21207696520322,13.0,1
User_32,Loc_4,57.0,2.0,167.0,17.0,5.566666666666666,2.0,12.0,True,Dynamic Pricing,True,0.2401515960220142,21.41571800980937,10.0,0
User_33,Loc_4,32.0,4.0,363.0,28.0,12.1,10.0,19.0,True,Dynamic Pricing,True,0.3235246137370379,27.25002297961062,9.0,0
User_34,Loc_1,38.0,2.0,101.0,48.0,3.3666666666666667,7.0,3.0,False,Flat Rate,True,0.1838128894818149,13.829202829525872,-4.0,0
User_35,Loc_3,64.0,5.0,460.0,37.0,15.333333333333334,0.0,10.0,True,Flat Rate,False,0.5769361233448397,14.4123258132743,10.0,1
User_36,Loc_5,26.0,1.0,224.0,36.0,7.466666666666667,4.0,16.0,False,Dynamic Pricing,True,0.1548413946474549,19.85891029819228,12.0,0
User_37,Loc_3,26.0,5.0,209.0,13.0,6.966666666666667,2.0,6.0,False,Dynamic Pricing,True,0.3561939434613794,28.302324173095204,4.0,0
User_38,Loc_5,27.0,5.0,185.0,24.0,6.166666666666667,1.0,13.0,False,Flat Rate,True,0.697013013934263,32.587801452897565,12.0,1
User_39,Loc_1,69.0,2.0,219.0,44.0,7.3,14.0,10.0,True,Flat Rate,True,0.5601159830093484,15.102227245582426,-4.0,1
User_40,Loc_2,43.0,1.0,226.0,46.0,7.533333333333333,7.0,8.0,False,Dynamic Pricing,True,0.3864625643279352,25.894439940779595,1.0,0
